Question,True_Answers,davinci-002,Davinci Evaluation,GPT-3.5_turbo-Search_type_QARetrieval,GPT-3.5_turbo-Search_type_QARetrieval,GPT-3.5-turbo_MMR_Search_type_QARetrieval,GPT-3.5-turbo_MMR_Search_type_QARetrieval_Evaluation,GPT-3.5-turbo_without data,GPT-3.5-turbo_without data_Evaluation,GPT-3.5-turbo_custom-prompt-basic-retriever,GPT-3.5-turbo_custom-prompt-multi-query-retriever
List some Bachelor's + Master pathways,"Civil and environmental engineering, computer science, electrical and computer engineering, mechanical and materials engineering",Bachelor's + Master pathways are listed in the official website of Portland State University.,0," Some Bachelor's + Master pathways include Civil and Environmental Engineering, Computer Science (Biomedical Informatics), Electrical and Computer Engineering, Mechanical and Materials Engineering, Engineering and Technology Management, and Materials Science and Engineering. ",1," - Computer Science - BS & minor
- Electrical Engineering - BS & minor
- Environmental Engineering - BS & minor
- Mechanical Engineering - BS
- Civil Engineering - BS
- Computer Engineering - BS
- Computer Science (Biomedical Informatics) - BS & Master's
- Electrical and Computer Engineering - BS & Master's
- Mechanical and Materials Engineering - BS & Master's
- Graduate Certificates in various fields (Cybersecurity, Hydrology, New Product Management, Project Management, Semiconductor Materials and Manufacturing, Strategic Management of Technology, Sustainability, Technological Entrepreneurship, Technology Management, Transportation)
- Master's and Doctorate programs in Computer Science with specializations in Machine Learning and Artificial Intelligence, Networks and Security, Data Management, and Cloud Computing.
",1,"1. Bachelor of Science in Biology + Master of Public Health
2. Bachelor of Arts in Psychology + Master of Social Work
3. Bachelor of Science in Environmental Science + Master of Urban and Regional Planning
4. Bachelor of Business Administration + Master of Taxation
5. Bachelor of Science in Computer Science + Master of Science in Computer Science",0,"- Civil and Environmental Engineering
- Computer Science (Biomedical Informatics)
- Electrical and Computer Engineering
- Mechanical and Materials Engineering","- Civil and Environmental Engineering
- Computer Science (Biomedical Informatics)
- Electrical and Computer Engineering
- Mechanical and Materials Engineering"
Does PSU has graduate certificate?,Yes,PSU has graduate certificate.,1," Yes, PSU offers graduate certificates in Computer Science.
",1," Yes, PSU has graduate certificate programs.
",1,"Yes, Portland State University does offer graduate certificates in a variety of fields. These certificates are designed to provide specialized knowledge and skills in a specific area of study and typically require completion of a set of courses. Students can pursue graduate certificates in areas such as business, education, engineering, public administration, and more.",1,I don't know.,I don't know.
Name some of the PSU grasuate certificates,"cybersecurity, hydrolody, project management, semiconductor materials and manufacturing, transporatation",Computer Science Master's Degree or Doctorate: Why PSU?,0," The PSU graduate certificates include Cybersecurity, Hydrology, New Product Management, Project Management, Semiconductor Materials and Manufacturing, Strategic Management of Technology, Sustainability, Technological Entrepreneurship, Technology Management, and Transportation.
",1," PSU graduate certificates include the Cybersecurity Certificate, Hydrology Certificate, New Product Management Certificate, Project Management Certificate, Semiconductor Materials and Manufacturing Certificate, Strategic Management of Technology Certificate, Sustainability Certificate, Technological Entrepreneurship Certificate, and Technology Management Certificate.
",1,"Some of the graduate certificates offered at Portland State University include:
1. Graduate Certificate in Business Analytics
2. Graduate Certificate in Public Health
3. Graduate Certificate in Sustainability
4. Graduate Certificate in College and University Teaching
5. Graduate Certificate in Gerontology
6. Graduate Certificate in Real Estate Development
7. Graduate Certificate in Renewable Energy
8. Graduate Certificate in Nonprofit Leadership and Administration",0,"Cybersecurity Certificate, Hydrology Certificate, New Product Management Certificate, Project Management Certificate, Semiconductor Materials and Manufacturing Certificate, Strategic Management of Technology Certificate, Sustainability Certificate, Technological Entrepreneurship Certificate, Technology Management Certificate, Transportation Certificate.","Cybersecurity Certificate, Hydrology Certificate, New Product Management Certificate, Project Management Certificate, Semiconductor Materials and Manufacturing Certificate, Strategic Management of Technology Certificate, Sustainability Certificate, Technological Entrepreneurship Certificate, Technology Management Certificate, Transportation Certificate."
Does PSU have graduate programs,"Yes, PSU has several graduate programs",PSU does have graduate programs.,1," Yes, PSU has graduate programs.
",1," Yes, PSU does have graduate programs.
",1,"Yes, Portland State University offers a wide range of graduate programs in various fields such as business, education, social work, urban planning, engineering, and many more. There are also combined degree programs available for students who wish to pursue multiple areas of study simultaneously. Students can choose from master's, doctoral, and graduate certificate programs at PSU.",0,Yes.,Yes.
What is computer science department office hours,"Yes, department has office hours are 8:00AM to 5:00PM, Monday through Friday.","Computer science department office hours are 8:00AM to 5:00PM, Monday through Friday.",1," The office hours for the computer science department are not mentioned on the website.
",0," The office hours for the computer science department are not specified.
",0,"The computer science department office hours at Portland State University may vary depending on the academic term and individual faculty schedules. It is recommended to check the department website or contact the department directly for current office hours information. Additionally, students can often schedule appointments with faculty members or advisors outside of regular office hours.",0,I don't know,I don't know
how many credits need to be complete master's program in computer science,45 credits,45 credits,1," The master's program in computer science requires the completion of 45 credits.
",1," The master's program in computer science requires the completion of 45 credits.
",1,"The Master's program in Computer Science at Portland State University requires a total of 45 credit hours to complete. This includes required core courses, elective courses, and a thesis/project. Students are also required to meet specific GPA requirements and complete a comprehensive examination.",1,Answer: 45 credits,Answer: 45 credits
What is the credit for special project,6 credits,The credit for special project is CS 506.,0," The credit for special project is referred to as CS 506 Special Project and can be counted towards the CS Master's degree elective requirements. It is recommended that students find a faculty member to supervise these credits and the final grade will be assigned by the supervising faculty member. Pre-admission credits can include transfer credits, which can be requested through the GO-21M form. 
",0," The credit for a special project can be obtained through CS 505 (Reading & Conference) and/or CS 506 (Special Project) credits. A maximum of 6 credits of CS 505 and CS 506 can be counted towards the CS Master’s degree elective requirements. 
",1,The credit for special project at Portland State University typically varies depending on the specific project and academic department involved. Students usually work with a faculty mentor to determine the appropriate credit amount for their project. This credit can be applied towards a student's degree requirements as elective credits or as part of an independent study or research course. Students should consult with their academic advisor for more information on earning credit for a special project.,0,Answer: CS 506,Answer: CS 506
What is the minimum passing grade for masters's computer science,All graded courses must be passed with a grade of B- or better. Core requirements must be passed with a grade of B or better.,3.0,0," The minimum passing grade for master's computer science is a B-. 
",1," The minimum passing grade for Master's in Computer Science is a B- or better.
",1,The minimum passing grade for master's computer science at Portland State University is a C (2.0 GPA).,0,Answer: B-,Answer: B-
What is the cumulative GPA should be maintained in all graduate credits,cumulative graduate GPA of 3.00 or higher,The cumulative GPA should be maintained in all graduate credits is 2.75.,0," The cumulative GPA should be maintained at 2.75 for undergraduate credits and 3.0 for graduate credits.
",1," The cumulative GPA should be maintained in all graduate credits.
",0,"For graduate students at Portland State University, a cumulative GPA of 3.00 or higher should be maintained in all graduate credits in order to remain in good academic standing. Students who fall below this threshold may be placed on academic probation or face dismissal from their program.",1,3,3
what is time limit of the graduate program to complete?,All coursework applied to the master’s program must be completed within seven years prior to the awarding of the degree.,45 credits,1," The graduate program has a time limit of 45 credits for the master's degree and 90 credits for the doctorate degree.
",1," The time limit for completing the graduate program is seven years from the date of degree conferral.
",1,"The time limit to complete a graduate program at Portland State University typically ranges from 5 to 7 years, depending on the specific program. Students are encouraged to consult with their academic advisor or program coordinator to determine the exact time limit for their program.",1,I don't know.,I don't know.
Does graduate computer science program provide thesis option?,Yes,"Yes, the program provides thesis option.",1," Yes, the graduate computer science program provides a thesis option.
",1," Yes, the graduate computer science program provides a thesis option.
",1,"Yes, Portland State University's graduate computer science program does offer a thesis option for students pursuing a Master's degree in Computer Science. Students can choose to complete a thesis as part of their degree requirements, allowing them to conduct in-depth research and contribute new knowledge to the field.",1,Yes.,Yes.
What is the requirement of the thesis option?,The thesis option requires the completion of 45 credits including 6-9 credits of CS 503 (Thesis) and an oral thesis defense.,"The requirement of the thesis option is to complete an approved program of 45 credits, with a thesis option.",1," The requirement of the thesis option is the completion of 45 credits, including 6-9 credits of CS 503 (Thesis) and an oral thesis defense. Students must also follow PSU policies and procedures outlined by the PSU Graduate School.
",1," The thesis option requires the completion of 45 credits, including 6-9 credits of CS 503 (Thesis) and an oral thesis defense. Students must follow PSU policies regarding committee appointments, defense procedures, formatting requirements, and submission procedures. University requirements and additional information for a master's thesis are outlined by the PSU Graduate School.
",1,"The thesis option at Portland State University is typically required for graduate programs, particularly at the master's and doctoral levels. Students pursuing the thesis option are usually required to conduct original research under the guidance of a faculty advisor, write a formal thesis document presenting their findings, and defend their thesis in front of a committee of faculty members. The specific requirements for the thesis option may vary depending on the graduate program and department. Students should consult their program handbook or speak with their academic advisor for more detailed information.",0,Answer: The thesis option requires the completion of 45 credits including 6-9 credits of CS 503 (Thesis) and an oral thesis defense.,Answer: The thesis option requires the completion of 45 credits including 6-9 credits of CS 503 (Thesis) and an oral thesis defense.
what is CS 505 Reading & Conference credit?,"the student will study a textbook on a particular topic; complete the end of chapter problems; and discuss/present their chapter summaries, exercise solutions, and other content with the supervising faculty member.",CS 505 Reading & Conference credit.,0," CS 505 (Reading & Conference) and CS 506 (Special Project) credits are elective credits that can be used towards the CS Master's degree. They involve studying a specific topic or conducting a research project under the guidance of a faculty member. CS 506 specifically involves gathering and analyzing data or researching a topic and presenting the results. A maximum of 6 credits of CS 505 and CS 506 can be counted towards the CS Master's degree elective requirements. 
",1," CS 505 (Reading & Conference) and CS 506 (Special Project) credits are options for students who want to explore a specific topic or conduct a special research or project for credit. A maximum of 6 credits of CS 505 and CS 506 can be counted towards the CS Master's degree elective requirements.
",1,"CS 505 Reading & Conference credit at Portland State University is a course that allows students to pursue independent study or research under the guidance of a faculty member. Students may earn credit by reading assigned material, conducting research, and engaging in discussions with their instructor. This course is typically offered for variable credit, allowing students to customize the amount of credit they receive based on the scope of their work.",1,"CS 505 Reading & Conference credit involves studying a textbook on a particular topic, completing end of chapter problems, and discussing/presenting chapter summaries, exercise solutions, and other content with a supervising faculty member.","CS 505 Reading & Conference credit involves studying a textbook on a particular topic, completing end of chapter problems, and discussing/presenting chapter summaries, exercise solutions, and other content with a supervising faculty member."
what is special project credit ?,The student will gather and analyze data or research an agreed topic and write up their results in a presentable format under the guidance of the supervising faculty member.,Special project credit is a course where students will gather and analyze data or research an agreed topic and write up their results in a presentable format under the guidance of the supervising faculty member.,1," Special project credit is an option for students to explore a specific topic or conduct a special research or other project for credit. It can count towards the CS Master's degree elective requirements, with a maximum of 6 credits allowed. The student must find a faculty member to supervise the credits and assign a final grade. The project must be consistent with the academic goals of the program and the appropriate course number, credit number, and project scope must be determined with the help of the faculty member. Pre-admission credits, including transfer credits, can also be counted towards the CS Master's degree elective requirements with proper approval. 
",1," Special project credit is a course where students gather and analyze data or research an agreed topic and write up their results in a presentable format under the guidance of a faculty member. The credit is assigned by the supervising faculty member and can be requested via a DARS exception after admission to the graduate program. 
",1,"Special project credit at Portland State University generally refers to credits earned for completing an independent research, internship, or other specialized project related to a student's field of study. This credit allows students to earn academic credit for projects that may not fit within traditional course offerings, but are still academically rigorous and relevant to their academic goals. Students must work closely with a faculty advisor to design and complete the project, and the amount of credit earned is determined by the scope and complexity of the project. Special project credit can be a valuable opportunity for students to gain practical experience and build skills relevant to their future career aspirations.",1,"Special project credit is a type of credit that allows students to gather and analyze data or research an agreed topic, and then write up their results in a presentable format under the guidance of a supervising faculty member.","Special project credit is a type of credit that allows students to gather and analyze data or research an agreed topic, and then write up their results in a presentable format under the guidance of a supervising faculty member."
Are special project credit is manmdatory?,"No , it is not mandatory",Special project credit is mandatory.,0," It is not mandatory to receive special project credits, but it is an option for students. 
",1," It is not mandatory to take special project credits. 
",1,"Special project credit at Portland State University is not mandatory. However, students have the option to participate in special projects for credit if they choose to do so. These projects can provide valuable hands-on experience and networking opportunities for students.",1,I don't know.,I don't know.
What are the different types of track available in computer science?,"Database, Security, Artifical Intelligence, Machine learning, Software Engineering, Systems and Networking",Systems & Networking is the track with the most courses.,0," The different types of track available in computer science are: Operating Systems, Internetworking Protocols, Parallel Programming, Internet/Web/Cloud Systems, Introduction to Performance, Accelerated Computing, Computer Architecture, Operating Systems Internals, Multimedia Computing and Networking, Introduction to Wireless Network Protocols, and Computer Architecture. 
",0," The different types of track available in computer science are Concepts of Operating Systems, Internetworking Protocols, Parallel Programming, Internet, Web, & Cloud Systems, Introduction to Performance, Accelerated Computing, Computer Architecture, Operating Systems Internals, Introduction to Multimedia Computing and Networking, Introduction to Wireless Network Protocols, and Computer Architecture. 
",0,"In the Computer Science program at Portland State University, students can choose from various tracks or specializations based on their interests and career goals. Some of the tracks available include:

1. Algorithms and Theory: Focuses on the mathematical and theoretical aspects of computer science, including algorithms, complexity theory, and optimization.

2. Artificial Intelligence and Machine Learning: Concentrates on developing intelligent systems, machine learning algorithms, and applications in areas such as natural language processing, computer vision, and robotics.

3. Cybersecurity: Involves studying methods and technologies to protect computer systems, networks, and data from cyberattacks and unauthorized access.

4. Data Science and Big Data: Focuses on analyzing and interpreting large volumes of data to extract insights, trends, and patterns that can drive decision-making.

5. Software Engineering: Concentrates on the design, development, and maintenance of software systems, emphasizing best practices and methodologies for building reliable and scalable applications.

6. Computer Systems: Explores the design, implementation, and optimization of hardware and software systems, including operating systems, embedded systems, and network protocols.

Students can choose one of these tracks or develop a customized track based on their specific interests and goals within the field of computer science.",0,"Answer: Databases, Artificial Intelligence & Machine Learning, Languages & Programming, Security, Software Engineering, Systems & Networking.","Answer: Databases, Artificial Intelligence & Machine Learning, Languages & Programming, Security, Software Engineering, Systems & Networking."
